corruption,n,nuclear_norm_rho_l,nuclear_norm_rho_s,atc_rho_l,atc_rho_s,prototype_rho_l,prototype_rho_s
brightness,8,0.7857,-0.1317,0.7143,0.4072,0.3333,0.1078
contrast,8,0.0359,0.1190,-0.5808,0.0958,0.6467,0.5476
defocus_blur,8,0.4762,0.1667,0.5000,0.2289,0.6667,-0.3810
elastic_transform,8,0.4524,0.6826,0.2156,0.3697,0.3571,0.0359
fog,8,0.5988,0.9037,0.2267,0.4364,0.5389,0.5422
frost,8,0.4671,0.6905,-0.1273,0.7306,0.2036,0.5476
gaussian_noise,8,0.8571,0.5061,0.6145,0.5636,0.4286,0.0120
glass_blur,8,0.1687,0.3114,0.0970,0.5241,0.0602,0.4072
impulse_noise,8,0.7306,0.4392,0.6826,0.2823,-0.3234,-0.2928
jpeg_compression,8,0.3374,0.5000,0.6970,0.7143,-0.2169,-0.0952
ALL,80,0.6413,0.9447,0.4318,0.8937,0.7005,0.8745
